               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.054346,           0.0086116,            0.025131,             0.34428,             0.25541,             0.22954,            0.094055,              0.0518,           0.0055486,            0.025669,           0.0077785,           0.0077785,           0.0077785
                 108,            0.054732,           0.0087191,            0.025901,             0.33876,             0.26789,             0.23405,            0.095973,             0.05173,           0.0055207,            0.025687,           0.0077409,           0.0077409,           0.0077409
                 109,            0.054314,           0.0085939,            0.025504,             0.32976,              0.2741,             0.23428,            0.096911,             0.05167,           0.0055024,            0.025702,           0.0077031,           0.0077031,           0.0077031
                 110,            0.054155,           0.0086181,            0.025109,             0.33732,             0.27105,             0.23394,            0.097489,            0.051645,           0.0054876,            0.025718,           0.0076651,           0.0076651,           0.0076651
                 111,            0.054379,           0.0086698,            0.025193,             0.32745,             0.28111,             0.23637,            0.097526,            0.051549,           0.0054744,            0.025639,           0.0076269,           0.0076269,           0.0076269
                 112,            0.054461,           0.0085259,             0.02513,             0.36686,             0.26426,             0.23805,            0.096912,            0.051671,            0.005451,            0.025624,           0.0075886,           0.0075886,           0.0075886
                 113,            0.054147,           0.0088582,            0.025624,             0.35658,             0.25702,             0.23769,             0.09758,            0.051636,            0.005481,            0.025616,           0.0075501,           0.0075501,           0.0075501
                 114,            0.053572,           0.0085913,             0.02475,             0.37937,             0.25549,             0.23891,            0.097189,            0.051638,           0.0055055,            0.025586,           0.0075114,           0.0075114,           0.0075114
                 115,            0.053588,           0.0085368,              0.0248,             0.35141,             0.26763,              0.2388,            0.097066,            0.051671,           0.0054876,            0.025555,           0.0074725,           0.0074725,           0.0074725
                 116,            0.053548,             0.00846,            0.024524,             0.33195,             0.27707,             0.23954,            0.097043,            0.051562,            0.005466,             0.02553,           0.0074335,           0.0074335,           0.0074335
                 117,            0.053736,           0.0086303,            0.025132,             0.32475,             0.28006,             0.23864,            0.098184,            0.051537,           0.0054685,             0.02556,           0.0073943,           0.0073943,           0.0073943
                 118,            0.053894,           0.0085915,             0.02542,             0.35647,             0.26697,             0.24403,            0.099178,            0.051512,           0.0054513,            0.025555,            0.007355,            0.007355,            0.007355
                 119,            0.053529,           0.0084737,            0.024404,              0.3621,             0.26628,             0.24454,            0.099462,            0.051409,           0.0054362,            0.025542,           0.0073155,           0.0073155,           0.0073155
                 120,            0.053626,           0.0084685,            0.024747,              0.3389,             0.27954,             0.24819,             0.10073,            0.051376,            0.005445,            0.025494,           0.0072758,           0.0072758,           0.0072758
                 121,             0.05355,           0.0084431,            0.024899,             0.35625,             0.26623,             0.24693,              0.1005,            0.051287,           0.0054133,            0.025425,           0.0072361,           0.0072361,           0.0072361
                 122,            0.053466,           0.0085745,            0.024734,             0.36336,             0.26567,             0.24539,            0.099866,            0.051241,           0.0054273,            0.025448,           0.0071962,           0.0071962,           0.0071962
                 123,            0.053405,           0.0085857,            0.024751,             0.37491,             0.26078,             0.24756,            0.099522,            0.051306,           0.0054456,            0.025428,           0.0071561,           0.0071561,           0.0071561
                 124,            0.053355,            0.008281,            0.024821,              0.3255,             0.28269,             0.24488,            0.099761,            0.051232,           0.0054462,            0.025439,            0.007116,            0.007116,            0.007116
                 125,            0.053307,           0.0085275,            0.024685,             0.31186,             0.29165,             0.24184,            0.098619,            0.051166,           0.0054407,            0.025399,           0.0070757,           0.0070757,           0.0070757
                 126,            0.053132,           0.0083906,            0.024089,             0.33106,             0.27589,              0.2418,            0.099473,             0.05117,           0.0054388,             0.02539,           0.0070353,           0.0070353,           0.0070353
                 127,            0.053288,           0.0084036,            0.024759,             0.34561,             0.26764,             0.24404,            0.099992,            0.051237,           0.0054376,            0.025387,           0.0069948,           0.0069948,           0.0069948
                 128,            0.053501,           0.0083385,            0.024628,             0.33754,             0.27289,             0.24522,            0.099831,            0.051182,           0.0054281,            0.025378,           0.0069541,           0.0069541,           0.0069541
                 129,             0.05291,           0.0084974,            0.024311,               0.343,             0.27139,              0.2468,            0.099933,            0.051112,           0.0053983,            0.025342,           0.0069134,           0.0069134,           0.0069134
                 130,            0.053204,           0.0084345,            0.024553,             0.33993,              0.2723,             0.24654,            0.099998,            0.051134,           0.0053886,            0.025335,           0.0068726,           0.0068726,           0.0068726
                 131,            0.052929,           0.0083985,            0.024447,             0.34379,             0.27189,             0.24721,            0.099806,            0.051131,           0.0053852,             0.02534,           0.0068316,           0.0068316,           0.0068316
                 132,            0.052839,           0.0083203,            0.023997,             0.35364,             0.26318,             0.24719,            0.099282,            0.051157,           0.0053976,            0.025342,           0.0067906,           0.0067906,           0.0067906
                 133,             0.05307,           0.0084443,            0.024503,             0.35465,             0.26286,              0.2445,             0.09936,            0.051187,           0.0054015,            0.025338,           0.0067495,           0.0067495,           0.0067495
                 134,            0.052615,           0.0083203,            0.024323,             0.33341,             0.27522,             0.24315,            0.099084,            0.051189,           0.0054131,            0.025337,           0.0067083,           0.0067083,           0.0067083
                 135,            0.053029,           0.0083559,            0.024226,              0.3376,             0.27807,             0.24638,             0.10007,            0.051164,           0.0054102,            0.025368,           0.0066671,           0.0066671,           0.0066671
                 136,            0.052814,           0.0083854,            0.024695,             0.32891,             0.28211,              0.2459,            0.099804,            0.051173,           0.0054143,            0.025382,           0.0066257,           0.0066257,           0.0066257
                 137,            0.052751,           0.0083823,            0.024225,             0.31866,             0.29365,             0.24692,            0.099931,            0.051135,           0.0054175,            0.025378,           0.0065843,           0.0065843,           0.0065843
                 138,            0.052614,           0.0084121,            0.024328,             0.31403,             0.28702,             0.24734,             0.10035,            0.051157,           0.0054237,            0.025387,           0.0065429,           0.0065429,           0.0065429
                 139,            0.052455,            0.008196,             0.02388,              0.3344,             0.27197,             0.24749,            0.099374,            0.051161,           0.0054238,            0.025393,           0.0065013,           0.0065013,           0.0065013
                 140,            0.052553,           0.0085119,            0.024017,             0.35568,             0.25763,             0.24787,              0.1001,            0.051154,           0.0054048,            0.025397,           0.0064597,           0.0064597,           0.0064597
                 141,            0.052353,           0.0083943,            0.023891,             0.32189,             0.28284,             0.24891,             0.10072,            0.051165,           0.0053882,            0.025381,           0.0064181,           0.0064181,           0.0064181
                 142,            0.052309,           0.0082044,            0.023813,             0.32206,             0.27979,              0.2483,             0.10065,             0.05115,           0.0054031,            0.025384,           0.0063764,           0.0063764,           0.0063764
                 143,            0.052219,           0.0083292,            0.023516,             0.35004,             0.25859,             0.24602,            0.099447,            0.051154,           0.0054042,            0.025358,           0.0063347,           0.0063347,           0.0063347
                 144,            0.052673,           0.0083341,            0.023946,             0.34761,             0.25948,             0.24401,            0.099163,            0.051155,           0.0054008,            0.025348,            0.006293,            0.006293,            0.006293
                 145,            0.052776,           0.0082714,            0.024325,             0.33628,             0.26668,             0.24381,            0.098153,             0.05124,           0.0054053,            0.025352,           0.0062512,           0.0062512,           0.0062512
                 146,            0.052593,            0.008347,             0.02423,             0.35115,             0.25872,             0.24308,            0.097847,            0.051232,           0.0054032,            0.025362,           0.0062093,           0.0062093,           0.0062093
                 147,            0.052629,           0.0082155,             0.02419,             0.35191,             0.25518,             0.24299,             0.09761,            0.051206,           0.0054062,            0.025362,           0.0061675,           0.0061675,           0.0061675
                 148,            0.052167,           0.0083112,            0.023715,             0.33812,             0.27031,             0.24484,            0.098381,            0.051158,           0.0054003,            0.025348,           0.0061256,           0.0061256,           0.0061256
                 149,            0.052352,            0.008206,            0.023601,             0.33518,              0.2694,             0.24519,            0.097967,            0.051183,           0.0053964,            0.025348,           0.0060838,           0.0060838,           0.0060838
                 150,            0.052226,           0.0083908,            0.023653,             0.33359,             0.27027,             0.24453,            0.097765,            0.051202,           0.0054014,            0.025368,           0.0060419,           0.0060419,           0.0060419
                 151,            0.052199,           0.0080579,            0.023333,              0.3342,             0.27463,             0.24523,            0.097739,            0.051193,           0.0054032,            0.025357,               0.006,               0.006,               0.006
                 152,            0.052021,           0.0081195,            0.023679,             0.34648,             0.26768,             0.24638,            0.098567,            0.051153,           0.0054053,            0.025343,           0.0059581,           0.0059581,           0.0059581
                 153,            0.052554,           0.0082506,            0.024007,             0.34633,               0.273,             0.24745,            0.099163,            0.051131,           0.0054015,            0.025327,           0.0059162,           0.0059162,           0.0059162
                 154,            0.052013,           0.0083317,            0.023452,             0.35137,             0.27024,             0.24817,            0.099396,            0.051093,           0.0053995,            0.025313,           0.0058744,           0.0058744,           0.0058744
                 155,            0.051565,           0.0084512,            0.024017,             0.35985,             0.26785,             0.24811,            0.099667,             0.05107,           0.0053908,              0.0253,           0.0058325,           0.0058325,           0.0058325
                 156,            0.051645,           0.0081743,            0.023013,             0.36447,             0.26717,             0.24765,             0.10035,            0.051072,           0.0053954,            0.025295,           0.0057907,           0.0057907,           0.0057907
